Valeurfonciere,Codepostal,Codedepartement,Surfacereellebati,Nombrepiecesprincipales,Typelocal_Appartement,Typelocal_Maison
325300.0,94300.0,94.0,94,3,1,0
39000.0,45140.0,45.0,58,3,1,0
153000.0,92110.0,92.0,20,1,1,0
164720.0,69009.0,69.0,38,1,1,0
41000.0,54240.0,54.0,75,4,1,0
194000.0,91380.0,91.0,51,3,1,0
140000.0,92270.0,92.0,17,1,1,0
140000.0,6500.0,6.0,38,2,1,0
180410.0,91300.0,91.0,108,5,1,0
216000.0,93100.0,93.0,34,1,1,0
235000.0,93420.0,93.0,74,4,0,1
404000.0,75018.0,75.0,36,2,1,0
72500.0,51000.0,51.0,52,2,1,0
108000.0,91200.0,91.0,22,1,1,0
650000.0,92300.0,92.0,63,3,1,0
107500.0,75019.0,75.0,11,1,1,0
120000.0,45110.0,45.0,96,4,0,1
195000.0,60600.0,60.0,69,3,1,0
262890.0,33000.0,33.0,48,2,1,0
237000.0,40230.0,40.0,98,4,0,1
55000.0,93120.0,93.0,16,1,1,0
38500.0,80350.0,80.0,25,2,1,0
278000.0,75011.0,75.0,18,1,1,0
140670.0,95000.0,95.0,62,3,1,0
45000.0,53000.0,53.0,54,3,1,0
135500.0,95360.0,95.0,75,4,1,0
477150.0,69001.0,69.0,100,2,1,0
261500.0,75002.0,75.0,20,1,1,0
170500.0,59800.0,59.0,48,2,1,0
92000.0,95260.0,95.0,29,1,1,0
55500.0,56300.0,56.0,72,4,1,0
202000.0,95240.0,95.0,71,3,1,0
109500.0,94430.0,94.0,17,1,1,0
232000.0,94360.0,94.0,49,2,1,0
263000.0,31400.0,31.0,55,3,1,0
120000.0,77360.0,77.0,40,2,1,0
81320.0,40170.0,40.0,40,3,1,0
121980.0,59000.0,59.0,42,1,1,0
28900.0,84000.0,84.0,20,1,1,0
278696.0,75015.0,75.0,56,3,1,0
231820.0,69003.0,69.0,43,1,1,0
130750.0,7300.0,7.0,78,4,1,0
44500.0,77000.0,77.0,17,1,1,0
586745.0,75020.0,75.0,62,3,1,0
87200.0,33240.0,33.0,42,2,1,0
200000.0,93400.0,93.0,36,2,1,0
185000.0,78200.0,78.0,69,4,1,0
213800.0,33700.0,33.0,60,2,1,0
51750.0,35120.0,35.0,25,2,1,0
24000.0,87000.0,87.0,18,1,1,0
190000.0,6230.0,6.0,65,2,1,0
330000.0,75004.0,75.0,25,2,1,0
77000.0,69400.0,69.0,69,4,1,0
169000.0,77250.0,77.0,65,3,1,0
330000.0,83150.0,83.0,63,3,1,0
127500.0,44600.0,44.0,45,2,1,0
149500.0,33680.0,33.0,37,2,1,0
155000.0,22700.0,22.0,72,3,1,0
589000.0,75011.0,75.0,48,2,1,0
155520.0,75018.0,75.0,16,1,1,0
280500.0,91550.0,91.0,90,5,0,1
227000.0,13004.0,13.0,65,3,1,0
117000.0,6130.0,6.0,66,2,1,0
83900.0,93190.0,93.0,31,1,1,0
365000.0,92600.0,92.0,60,3,1,0
1382518.0,75009.0,75.0,162,6,1,0
24000.0,88140.0,88.0,33,1,1,0
148000.0,75015.0,75.0,15,1,1,0
1120000.0,75017.0,75.0,80,4,1,0
272000.0,75016.0,75.0,34,2,1,0
143000.0,59120.0,59.0,48,2,1,0
46500.0,11430.0,11.0,29,1,1,0
